"producto_marca","producto_url","producto_precio","producto_precio_url","producto_especificaciones","producto_especificaciones_url"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","$ 183.000","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","Perfume Yara 100ml","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","$ 189.000","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406","Perfume Badee Al Oud Amethyst 100ml","https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","$ 182.000","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344","Perfume Asad 100ml","https://www.falabella.com.co/falabella-co/product/128762343/Perfume-Asad-Lattafa-100ml/128762344"
"TOMMY HILFIGER","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","$ 169.990","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","Perfume Hombre 100 ml EDT","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191"
"TOMMY HILFIGER","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","$ 169.990","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","Perfume Mujer Girl 100 ml EDT","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","$ 210.000","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085","Perfume Eclaire 100ML","https://www.falabella.com.co/falabella-co/product/133932084/Perfume-Eclaire-Lattafa-100ML/133932085"
"LANCOME","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","$ 184.990","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402","Perfume La Vie Est Belle Mujer 30 ml EDP","https://www.falabella.com.co/falabella-co/product/2848402/Perfume-Lancome-La-Vie-Est-Belle-Mujer-30-ml-EDP-Lancome/2848402"
"ARMANI","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512","$ 529.990","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512","Perfume Hombre Aqua Di Gio 200 ml EDT","https://www.falabella.com.co/falabella-co/product/1451512/Perfume-Hombre-ARMANI-Aqua-Di-Gio-200-ml-EDT-/1451512"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","$ 186.000","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375","Perfume Oud For Glory 100ml","https://www.falabella.com.co/falabella-co/product/123467374/Perfume-Oud-For-Glory-100ml/123467375"
"CAROLINA HERRERA","https://www.falabella.com.co/falabella-co/product/3493438/Perfume-Carolina-Herrera-212-Vip-Black-Hombre-200-ml-EDP/3493438","$ 699.990","https://www.falabella.com.co/falabella-co/product/3493438/Perfume-Carolina-Herrera-212-Vip-Black-Hombre-200-ml-EDP/3493438","Perfume 212 Vip Black Hombre 200 ml EDP","https://www.falabella.com.co/falabella-co/product/3493438/Perfume-Carolina-Herrera-212-Vip-Black-Hombre-200-ml-EDP/3493438"
"ARMAF","https://www.falabella.com.co/falabella-co/product/138436548/Combo-Armaf-Black-Power/138436549?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_ScNz3LEZvbaBSRYWZAig7E58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZUDpYmyw54RCWq-IiWPLg7JtfggCceJdEOtOPJ2rRfWEzf-oHcpWspKh8bNTLikWsvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","$ 719.840","https://www.falabella.com.co/falabella-co/product/138436548/Combo-Armaf-Black-Power/138436549?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_ScNz3LEZvbaBSRYWZAig7E58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZUDpYmyw54RCWq-IiWPLg7JtfggCceJdEOtOPJ2rRfWEzf-oHcpWspKh8bNTLikWsvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D","Combo Black Power","https://www.falabella.com.co/falabella-co/product/138436548/Combo-Armaf-Black-Power/138436549?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0Njc0MDM2NzY0OQ%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_ScNz3LEZvbaBSRYWZAig7E58cXMmwNlUmvj7nUKQy6nC7yHfRzX4YI9L4bdtQ-WZUDpYmyw54RCWq-IiWPLg7JtfggCceJdEOtOPJ2rRfWEzf-oHcpWspKh8bNTLikWsvGT7wdJiAbXeDeFBFgLSOtaRMyunxKi4kkEAsYCyRK0%253D_ark196b1d3e1657713839%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Perfumes%2522%257D%257D"
