"producto_name","producto_url","producto_especificaciones","producto_especificaciones_url","producto_vendido_por","producto_vendido_por_url","producto_precio_descuento","producto_precio_descuento_url","producto_precio_con_oferta","producto_precio_con_oferta_url","producto_precio_sin_oferta","producto_precio_sin_oferta_url","producto_promocion_blackdays","producto_promocion_blackdays_url","producto_referencias","producto_referencias_url","producto_descuento","producto_descuento_url","producto_tiempo_llegada","producto_tiempo_llegada_url","producto_envios_gratis","producto_envios_gratis_url"
"TOUS","https://www.falabella.com.co/falabella-co/product/72966684/Perfume-de-Mujer-Tous-Neoncandy-90-ml-EDT/72966684","Perfume de Mujer Neoncandy 90 ml EDT","https://www.falabella.com.co/falabella-co/product/72966684/Perfume-de-Mujer-Tous-Neoncandy-90-ml-EDT/72966684","Por Falabella","https://www.falabella.com.co/falabella-co/product/72966684/Perfume-de-Mujer-Tous-Neoncandy-90-ml-EDT/72966684","$ 149.990","https://www.falabella.com.co/falabella-co/product/72966684/Perfume-de-Mujer-Tous-Neoncandy-90-ml-EDT/72966684","$ 169.990","https://www.falabella.com.co/falabella-co/product/72966684/Perfume-de-Mujer-Tous-Neoncandy-90-ml-EDT/72966684","$ 389.900","https://www.falabella.com.co/falabella-co/product/72966684/Perfume-de-Mujer-Tous-Neoncandy-90-ml-EDT/72966684","Black Days","https://www.falabella.com.co/falabella-co/product/72966684/Perfume-de-Mujer-Tous-Neoncandy-90-ml-EDT/72966684","(23)","https://www.falabella.com.co/falabella-co/product/72966684/Perfume-de-Mujer-Tous-Neoncandy-90-ml-EDT/72966684","-62%","https://www.falabella.com.co/falabella-co/product/72966684/Perfume-de-Mujer-Tous-Neoncandy-90-ml-EDT/72966684","Llega mañana","https://www.falabella.com.co/falabella-co/product/72966684/Perfume-de-Mujer-Tous-Neoncandy-90-ml-EDT/72966684","",""
"TOMMY HILFIGER","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","Perfume Hombre 100 ml EDT","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","Por Falabella","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","$ 149.990","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","$ 169.990","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","$ 244.900","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","Black Days","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","(536)","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","-39%","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","Llega mañana","https://www.falabella.com.co/falabella-co/product/72762191/Perfume-Hombre-Tommy-Hilfiger-100-ml-EDT/72762191","",""
"LANCOME","https://www.falabella.com.co/falabella-co/product/1550495/Perfume-Lancome-Miracle-Mujer-30-ml-EDP-Lancome/1550495","Perfume Miracle Mujer 30 ml EDP","https://www.falabella.com.co/falabella-co/product/1550495/Perfume-Lancome-Miracle-Mujer-30-ml-EDP-Lancome/1550495","Por Falabella","https://www.falabella.com.co/falabella-co/product/1550495/Perfume-Lancome-Miracle-Mujer-30-ml-EDP-Lancome/1550495","","","$ 149.900","https://www.falabella.com.co/falabella-co/product/1550495/Perfume-Lancome-Miracle-Mujer-30-ml-EDP-Lancome/1550495","","","","","(166)","https://www.falabella.com.co/falabella-co/product/1550495/Perfume-Lancome-Miracle-Mujer-30-ml-EDP-Lancome/1550495","","","Llega mañana","https://www.falabella.com.co/falabella-co/product/1550495/Perfume-Lancome-Miracle-Mujer-30-ml-EDP-Lancome/1550495","",""
"TOMMY HILFIGER","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","Perfume Mujer Girl 100 ml EDT","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","Por Falabella","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","$ 149.990","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","$ 169.990","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","$ 244.900","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","Black Days","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","(577)","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","-39%","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","Llega mañana","https://www.falabella.com.co/falabella-co/product/72762192/Perfume-Mujer-Tommy-Hilfiger-Girl-100-ml-EDT/72762192","",""
"VERSACE","https://www.falabella.com.co/falabella-co/product/4197427/Perfume-Versace-Eau-Fraiche-Pour-Homme-Hombre-100-ml-EDT/4197427","Perfume Eau Fraiche Pour Homme Hombre 100 ml EDT","https://www.falabella.com.co/falabella-co/product/4197427/Perfume-Versace-Eau-Fraiche-Pour-Homme-Hombre-100-ml-EDT/4197427","Por Falabella","https://www.falabella.com.co/falabella-co/product/4197427/Perfume-Versace-Eau-Fraiche-Pour-Homme-Hombre-100-ml-EDT/4197427","$ 199.990","https://www.falabella.com.co/falabella-co/product/4197427/Perfume-Versace-Eau-Fraiche-Pour-Homme-Hombre-100-ml-EDT/4197427","$ 204.990","https://www.falabella.com.co/falabella-co/product/4197427/Perfume-Versace-Eau-Fraiche-Pour-Homme-Hombre-100-ml-EDT/4197427","$ 499.990","https://www.falabella.com.co/falabella-co/product/4197427/Perfume-Versace-Eau-Fraiche-Pour-Homme-Hombre-100-ml-EDT/4197427","Black Days","https://www.falabella.com.co/falabella-co/product/4197427/Perfume-Versace-Eau-Fraiche-Pour-Homme-Hombre-100-ml-EDT/4197427","(558)","https://www.falabella.com.co/falabella-co/product/4197427/Perfume-Versace-Eau-Fraiche-Pour-Homme-Hombre-100-ml-EDT/4197427","-60%","https://www.falabella.com.co/falabella-co/product/4197427/Perfume-Versace-Eau-Fraiche-Pour-Homme-Hombre-100-ml-EDT/4197427","Llega mañana","https://www.falabella.com.co/falabella-co/product/4197427/Perfume-Versace-Eau-Fraiche-Pour-Homme-Hombre-100-ml-EDT/4197427","",""
"PAULINA VEGA","https://www.falabella.com.co/falabella-co/product/3419727/Perfume-Paulina-Vega-para-Mujer-100-ml-EDP/3419727","Perfume para Mujer 100 ml EDP","https://www.falabella.com.co/falabella-co/product/3419727/Perfume-Paulina-Vega-para-Mujer-100-ml-EDP/3419727","Por Falabella","https://www.falabella.com.co/falabella-co/product/3419727/Perfume-Paulina-Vega-para-Mujer-100-ml-EDP/3419727","$ 109.990","https://www.falabella.com.co/falabella-co/product/3419727/Perfume-Paulina-Vega-para-Mujer-100-ml-EDP/3419727","$ 129.990","https://www.falabella.com.co/falabella-co/product/3419727/Perfume-Paulina-Vega-para-Mujer-100-ml-EDP/3419727","$ 189.990","https://www.falabella.com.co/falabella-co/product/3419727/Perfume-Paulina-Vega-para-Mujer-100-ml-EDP/3419727","Black Days","https://www.falabella.com.co/falabella-co/product/3419727/Perfume-Paulina-Vega-para-Mujer-100-ml-EDP/3419727","(235)","https://www.falabella.com.co/falabella-co/product/3419727/Perfume-Paulina-Vega-para-Mujer-100-ml-EDP/3419727","-42%","https://www.falabella.com.co/falabella-co/product/3419727/Perfume-Paulina-Vega-para-Mujer-100-ml-EDP/3419727","Llega mañana","https://www.falabella.com.co/falabella-co/product/3419727/Perfume-Paulina-Vega-para-Mujer-100-ml-EDP/3419727","",""
"MONTBLANC","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","Perfume Hombre Starwalker 75 ml EDT","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","Por Falabella","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","$ 189.990","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","$ 209.990","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","$ 439.900","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","Black Days","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","(1070)","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","-57%","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","Llega mañana","https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700","",""
"LATTAFA","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","Perfume Yara 100ml","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","Por Amber Oud","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","$ 175.000","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","$ 183.000","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","$ 339.000","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","Black Days","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","(904)","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","-48%","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","Llega mañana","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196","Envío gratis","https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196"
"LATTAFA","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","Perfume Khamrah 100ml","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","Por Amber Oud","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","$ 179.000","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","$ 189.000","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","$ 450.000","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","Black Days","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","(184)","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","-60%","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","Llega mañana","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287","Envío gratis","https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287"
"MAISON ALHAMBRA","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","Perfume Delilah Pour Femme 100ml","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","Por Amber Oud","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","$ 155.700","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","$ 173.000","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","$ 335.000","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","Black Days","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","(69)","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","-54%","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","Llega mañana","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000","Envío gratis","https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000"
