"ID","producto_name","producto_especificaciones","producto_vendido_por","producto_precio_descuento","producto_precio_con_oferta","producto_precio_sin_oferta","producto_promocion_blackdays","producto_referencias","producto_descuento","producto_tiempo_llegada","producto_envios_gratis","created_at","id"
92,"ESTEE LAUDER","Perfume mujer Beautiful magnolia 100 ml edt","Por Falabella",179990,195900,549990,"Black Days","(3)","-64%","Llega mañana","No","2025-05-21T00:38:24.287941",92
93,"DIESEL","Perfume Fuel For Life Promo Hombre 125 ml EDT","Por Falabella",199990,204990,409990,"Black Days","(241)","-51%","Llega mañana","No","2025-05-21T00:38:24.287941",93
94,"DIOR","J'adore l'Or - Perfume con notas florales","Por Falabella",179990,1331000,420000,"Sin promocion","(13)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",94
95,"DIOR","Perfume Hombre Dior Sauvage Elixir EDP","Por Falabella",179990,1445900,420000,"Sin promocion","(88)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",95
96,"MAISON ALHAMBRA","Perfume Sceptre Malachite 100ML","Por Amber Oud",191700,213000,439000,"Black Days","(0)","-56%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",96
97,"LANCOME","Set de perfume Mujer Incluye:3 Productos","Por Falabella",179990,495990,619900,"Black Days","(3)","-20%","Llega mañana","No","2025-05-21T00:38:24.287941",97
98,"MOSSIMO","Perfume Mujer Fragancia By Daniela Ospina 100 Ml EDP","Por Falabella",109990,129990,189990,"Black Days","(196)","-42%","Desconocido","No","2025-05-21T00:38:24.287941",98
99,"LATTAFA","Perfume Qaed Al Fursan 100ML","Por Amber Oud",164700,183000,335000,"Black Days","(13)","-51%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",99
100,"LATTAFA","Perfume Musamam White Intense","Por Amber Oud",200700,223000,420000,"Black Days","(0)","-52%","Desconocido","Envío gratis","2025-05-21T00:38:24.287941",100
101,"CAROLINA HERRERA","Perfume Mujer Good Girl 50 ml EDP","Por Falabella",179990,481000,420000,"Sin promocion","(5555)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",101
102,"ARIANA GRANDE","Perfume de Mujer Thank U Next 100 ml EDP","Por Falabella",179990,329990,420000,"Sin promocion","(0)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",102
103,"DIOR","Perfume Mujer Dior J'adore EDP","Por Falabella",179990,780900,420000,"Sin promocion","(16)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",103
104,"ARMAF","Perfume Club De Nuit Untold 105ml edp Unisex","Por Paris Success Sas",520100,577915,679900,"Black Days","(0)","-24%","Desconocido","Envío gratis","2025-05-21T00:38:24.287941",104
